Gene	correlation	p_value	mean_CN	mean_exp	delta_CN	delta_exp
WRAP73	-0.0161956149464312	0.904821358903277	2.35087719298246	3.90611161764502	3	4.49210400469686
TP73	-0.215906565428751	0.106737109641103	2.35087719298246	3.34357644500219	3	2.82866098254252
TP73-AS1	-0.100627151057893	0.456404403406937	2.35087719298246	3.74193621540342	3	4.20266424944916
CCDC27	0.0577546775262033	0.669572709793418	2.35087719298246	3.21304473126129	3	2.24843490126885
SMIM1	0.0522143131359227	0.699689841498515	2.35087719298246	4.3747762863419	3	7.8417581791391
LRRC47	0.190386439554016	0.15602919376149	2.35087719298246	4.81206452906977	3	6.10111221299564
CEP104	0.172634757938704	0.199087818759605	2.35087719298246	5.59778375211509	3	7.29618322033781
DFFB	0.0399037127532166	0.768215899046852	2.35087719298246	3.49878808894445	3	3.5398650200635
AJAP1	-0.0486066458931243	0.719554424322205	2.35087719298246	3.51550291994114	3	5.06019180809545
NPHP4	0.319254769416515	0.0154933199888259	2.35087719298246	4.73094481640437	3	5.90106160768529
KCNAB2	0.309166980502409	0.0192787443443401	2.35087719298246	3.76327117673311	3	2.85340370735246
CHD5	0.242451562166266	0.0691967255532543	2.35087719298246	3.19959910065074	3	1.69761890838347
RPL22	0.216645071962593	0.105514807488281	2.35087719298246	6.33675598120892	3	6.19483924622467
RNF207	-0.168701114551008	0.209674218904735	2.35087719298246	3.27562814085495	3	2.76257687442542
ICMT	0.171550411842732	0.201967363441249	2.35087719298246	4.44118037476293	3	5.09602760989178
GPR153	0.145315967971556	0.280791550782211	2.35087719298246	3.60267876416709	3	3.43783399542041
ACOT7	-0.157594164306689	0.241685861967887	2.35087719298246	4.19424340722425	3	4.17040109746006
HES2	0.0807714281576231	0.550321801587107	2.35087719298246	3.61520396959334	3	4.42515857898939
ESPN	0.165095401050916	0.219720769724807	2.35087719298246	4.29359070343676	3	4.30085450425862
TNFRSF25	0.298773879259038	0.0239733572939285	2.35087719298246	3.25887282349663	3	2.62008477671531
PLEKHG5	0.23135671427304	0.0833473014121407	2.35087719298246	3.62115675550527	3	4.28864549039889
NOL9	0.26221903148506	0.0487834203789815	2.35087719298246	4.58452707664454	3	4.45730586270773
TAS1R1	-0.156831529640548	0.244000268890572	2.35087719298246	3.28328770697639	3	1.71293517831176
ZBTB48	-0.101097856943966	0.454289865488335	2.35087719298246	3.79264003533193	3	5.55938803869577
KLHL21	-0.375899857778095	0.0039565395432934	2.35087719298246	4.88250161711229	3	6.66198831635297
PHF13	-0.00822393085672149	0.951586386617678	2.35087719298246	4.78233886994611	3	4.28340637193998
THAP3	0.166833015998613	0.214838127972476	2.35087719298246	3.86387980513879	3	3.34388714009318
DNAJC11	0.0498025617122294	0.712948262844006	2.35087719298246	5.36413207630851	3	7.55747399066215
CAMTA1	0.202892727720235	0.130111559617843	2.35087719298246	8.91247794129742	3	5.02378675444432
VAMP3	-0.094045963398631	0.486525539347375	2.35087719298246	5.57831392744077	3	6.29292073014017
PER3	0.18820379939784	0.160917665109624	2.35087719298246	5.14557656919226	3	5.8997408602751
UTS2	0.0293700134208249	0.828307367273436	2.35087719298246	3.07177262236224	3	1.86578799598253
TNFRSF9	0.181717005988205	0.176109096528795	2.35087719298246	3.14655288480427	3	1.172932901647
PARK7	0.304158664295605	0.0214330920573872	2.35087719298246	7.77179000414994	3	6.71919604574752
ERRFI1	-0.285247877540367	0.0314946816970843	2.35087719298246	8.58066990788847	3	5.8105973372236
SLC45A1	-0.318754198940785	0.0156648984821433	2.35087719298246	3.53761040900129	3	3.51401409085629
RERE	0.058305244707644	0.666606946390921	2.35087719298246	8.69894473117792	3	4.73523035289381
ENO1	0.297195075357066	0.0247646109395437	2.35087719298246	8.18460749822549	3	5.03476721029942
ENO1-AS1	0.398293454614012	0.0021514939403781	2.35087719298246	3.18407641188053	3	3.5398650200635
CA6	0.268654150354675	0.0433136016483004	2.35087719298246	3.32917401678344	3	1.42055354624277
SLC2A7	0.0333695191369058	0.805356017534747	2.35087719298246	3.10424461138024	3	0.735692607777249
SLC2A5	0.166657239292445	0.215328568121629	2.35087719298246	3.49087663507816	3	1.74012139504068
GPR157	0.277704182712274	0.0364829943073565	2.35087719298246	4.43251091946973	3	5.03119459310896
H6PD	0.0433564085419543	0.748792172644217	2.35087719298246	4.24331304784898	3	4.26455028766056
SPSB1	0.0964012092330898	0.475627499703334	2.35087719298246	6.64176318583271	3	6.8926196897569
SLC25A33	0.190747061860211	0.155232168505177	2.35087719298246	5.59080883162072	3	6.32392964343972
TMEM201	0.0334788273704569	0.804730937287767	2.35087719298246	3.5248067668625	3	4.19733564333048
PIK3CD	-0.114720346187377	0.395468803188859	2.35087719298246	3.81451849214184	3	4.60417498538803
CLSTN1	0.275220718178132	0.0382619194610854	2.35087719298246	6.33155003308529	3	5.77267669374772
CTNNBIP1	-0.113426421988214	0.400855366618422	2.35087719298246	4.66231906837056	3	3.71998883463294
LZIC	0.335702869289858	0.0106828211757789	2.35087719298246	5.34237802841903	3	5.94478483359684
NMNAT1	0.0104927313774174	0.938253294462107	2.35087719298246	4.17157160164852	3	4.08486633634652
RBP7	-0.217713684112642	0.103765300571197	2.35087719298246	3.69600935050588	3	5.35188573444887
UBE4B	0.45418104685169	0.000387066266826389	2.35087719298246	6.3394820904361	3	4.51302274482533
KIF1B	-0.306506899835079	0.0203988738792184	2.35087719298246	7.52465341969783	3	4.76148205064035
PGD	0.195074786256013	0.145900559985964	2.35087719298246	5.31643559230768	3	5.24209316067532
DFFA	0.13632085784962	0.311955016442927	2.35087719298246	4.9229058182487	3	6.63292569893342
PEX14	0.123854454340154	0.358668488769553	2.35087719298246	5.96590642089033	3	5.86201521744501
CASZ1	-0.0701188558372807	0.604251692392176	2.35087719298246	7.50787670023558	3	5.10725291388079
C1orf127	-0.168583924691425	0.20999556944713	2.35087719298246	3.0738112804745	3	0.737717432616702
TARDBP	0.232405484343228	0.0819192073752836	2.35087719298246	7.81375484277566	3	4.89284293844998
MASP2	0.0665844885922608	0.622640577722974	2.35087719298246	3.28817810083802	3	2.05776727084362
SRM	0.266778507966308	0.0448531600721017	2.35087719298246	4.86474881737469	3	5.5567656280687
EXOSC10	-0.108918679744181	0.419952663427547	2.35087719298246	5.90898477050423	3	6.34137438244193
MTOR	0.0233503877701576	0.86311573045076	2.35087719298246	5.65284993852619	3	5.21531087326075
UBIAD1	0.229214448505702	0.0863252806411803	2.35087719298246	4.37254129319143	3	4.51115557972228
FBXO2	0.290841427930707	0.028174815005151	2.35087719298246	3.76379190057288	3	5.98618524902721
FBXO44	0.11061816815287	0.412692413226276	2.35087719298246	3.70946724773372	3	3.8662977222951
FBXO6	-0.0101549468892062	0.9402373798081	2.35087719298246	3.65475571161603	3	3.72157773574672
MAD2L2	0.386806986375036	0.00295610453965221	2.35087719298246	4.17167498369849	3	4.96232915118976
DRAXIN	-0.0101360690947692	0.940348275333791	2.35087719298246	3.12400630995886	3	1.06557625804862
AGTRAP	0.421704961686893	0.00108656430948507	2.35087719298246	4.90730255886262	3	5.68234072979795
MTHFR	0.122245537450321	0.364993911131674	2.35087719298246	3.89063560693045	3	4.2153833563398
CLCN6	0.032917424534208	0.807942605988865	2.35087719298246	3.9857090192471	3	4.15355599754095
KIAA2013	0.154813989246387	0.250195822435826	2.35087719298246	4.56783877321759	3	5.31247857582957
PLOD1	0.234273243301171	0.079423764008609	2.35087719298246	4.69815113361686	3	5.82287755845054
MFN2	0.258681992103512	0.0520222477150486	2.35087719298246	6.64641365915626	3	5.80364578845409
MIIP	-0.039025907901762	0.773177320732212	2.35087719298246	3.61382377596691	3	3.66250237428904
TNFRSF8	-0.26981462936445	0.0423829929766453	2.35087719298246	3.4263016912275	3	1.74012139504068
TNFRSF1B	0.0126742371389941	0.925449020484254	2.35087719298246	3.41538997680234	3	2.54196166432452
VPS13D	0.3437039762548	0.00885259772545741	2.35087719298246	7.59618631017006	3	5.65855327971992
DHRS3	-0.061841026581703	0.647682846931215	2.35087719298246	4.61368828701293	3	7.2608242613071
PRDM2	0.116104316598798	0.38975472448457	2.35087719298246	7.53893334193574	3	5.06554333733589
KAZN	0.238033380352236	0.0745824724144206	2.35087719298246	6.92307506097034	3	7.03798538796993
TMEM51	0.426285983737364	0.000945107480571532	2.35087719298246	5.90017408770129	3	5.91115118375295
FHAD1	0.519676238104552	3.4335814672746e-05	2.35087719298246	4.29118535621782	3	5.84282460881149
EFHD2	0.214993506818189	0.108263363817787	2.35087719298246	5.1041007355016	3	5.91996270753836
CTRC	0.101157264162915	0.454023374422462	2.35087719298246	3.1973004189688	3	1.27413894964649
CELA2A	-0.154052801265311	0.252560827981376	2.35087719298246	3.0826715550963	3	1.05107114986221
CELA2B	-0.0309144046533145	0.819426784128272	2.35087719298246	3.30060172764106	3	2.7950313670875
CASP9	0.0842547579593553	0.533201563330614	2.35087719298246	3.85181378912794	3	6.64646209584518
DNAJC16	-0.0112659116300446	0.933713194927886	2.35087719298246	5.11458576929989	3	4.99038971528645
DDI2	0.276459723911079	0.0373656489219435	2.35087719298246	5.96133861122077	3	6.81970574968693
PLEKHM2	0.286018008837914	0.0310190921485316	2.35087719298246	4.21036622283507	3	4.83882274901376
FBLIM1	-0.332749442543681	0.0114366337692729	2.35087719298246	4.70872211836024	3	5.17870034013689
SPEN	0.135596105613489	0.314558826779635	2.35087719298246	8.75331592009388	3	4.56480613466874
ZBTB17	0.0929528369471411	0.491627807830902	2.35087719298246	5.11204731622168	3	6.95483892154634
CLCNKA	0.255099660314966	0.0554786740779822	2.35087719298246	3.13939747191947	3	2.12217271758783
CLCNKB	0.101759442949115	0.451326942412857	2.35087719298246	3.11918706372849	3	2.79347901136972
FAM131C	-0.194359554541168	0.147413262944407	2.35087719298246	3.0249959163496	3	0.615663941591731
EPHA2	-0.175203301099822	0.192383597673941	2.35087719298246	4.20021980331618	3	4.23741842315522
ARHGEF19	-0.0645484585243472	0.633339645879992	2.31578947368421	3.11145432019536	3	2.08135077495567
FBXO42	0.141838294909165	0.292586894049567	2.31578947368421	5.64706545973893	3	5.14365842158377
SZRD1	0.311667501147266	0.018273894511762	2.31578947368421	4.37372688555753	3	4.4122425792985
PADI2	0.028286488938951	0.834550700606226	2.31578947368421	3.36372889842673	3	2.83961716241345
PADI1	-0.0197779083858848	0.883900836423048	2.31578947368421	3.10519709942094	3	1.21856177210984
PADI3	0.0876441412773626	0.51679843861579	2.31578947368421	3.12485935873341	3	0.733192829532804
PADI4	-0.0883184169716732	0.513565839542492	2.31578947368421	3.0930966061326	3	1.21856177210984
RCC2	0.197064548420787	0.141753050834067	2.31578947368421	5.65860381652556	3	7.07125561056978
ARHGEF10L	0.0529267543025088	0.69579001243514	2.31578947368421	5.61576682535932	3	4.44021858962619
ACTL8	-0.230170618203544	0.0849859395806375	2.31578947368421	3.16499358484841	3	0.97740166615927
